closingPrices  SMA12          SMA26          EMA12          EMA26          MOM25          TBR24          VOL29          EMASignal      TBRSignal      VOLSignal      MOMSignal      
357.54         N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
356.44         N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
358.1          N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
352.03         N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
353.13         N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
350.37         N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
345.96         N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
352.58         N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
360.85         N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
360.85         N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
359.2          N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
355.89         N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
352.03         355.245        N/A            354.750385     N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
350.37         354.785833     N/A            354.07648      N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
348.16         354.28         N/A            353.166252     N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
341.54         353.451667     N/A            351.377598     N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
352.58         352.5775       N/A            351.562583     N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
352.58         352.531667     N/A            351.719109     N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
354.79         352.715833     N/A            352.191554     N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
361.41         353.451667     N/A            353.609776     N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
